review,rating,date
"bagus bagus jir musiknya, tambahin where we are dong",5,2025-12-29 08:42:34
bagus,5,2025-12-29 08:41:52
enak bgt apa lagi sambil main game,5,2025-12-29 08:34:45
"lagu ny sih bagus semua ya . namun yg aku benci kenapa sih harus pake premium, sungguh merepet 😩",2,2025-12-29 08:23:58
dengerin musik favorite jadi gampang,5,2025-12-29 08:22:35
"bagus banget pokoknya, ga ada kekurangan apapun iklan pun ga ada the best pokoknya deh",5,2025-12-29 08:15:05
"diawalan emang bagus sii, musik diputar urut, tpi klo udah lama gabisa urut lagi, masuk mode acak, terus pas diawal iklan cuma 1 tapi makin lama makin banyak, sekarang aja iklannya 3 mana lama banget iklannya, terus juga gabisa pilih musik banyak"" buat diputer, baru dpt 5-10 musik udah gabisa milih lagi, kurang banyak si kata ku..😔😔",2,2025-12-29 07:55:54
banyak iklan,1,2025-12-29 07:50:37
👍👍👍👍👍,5,2025-12-29 07:50:18
bagus banget,5,2025-12-29 07:48:44
mantep,5,2025-12-29 07:35:15
sangat memuaskan,5,2025-12-29 07:31:13
"bagus sekali ,berguna",5,2025-12-29 07:25:38
bagus nyarik lagu yang aku ingin kan ada semua,5,2025-12-29 07:10:22
SERUU,5,2025-12-29 07:03:17
asikk bgt buat sambil beres beres,5,2025-12-29 06:56:35
aslinya pengen kasih bintang lima cuma setiap kali udah lewat lebih 6 kali pasti aja ditolak atauga harus dengerin sampe habis + gk boleh ganti ganti padahal kan bisa jadi yg dengerin bosen dan pengen ganti sampe ketemu yang enak tolong diperbaiki lagi yaaa tau sih karena diupdate yg trs menerus tapi harusnya juga kasihani dong ama orang-orang yang gk bisa bayar/premium yg awalnya ingin ngilangin stress malah nambah stress jika ada kata-kata yang kasar saya minta maaf sekian terimakasih :D,4,2025-12-29 06:53:56
the Best music apk,5,2025-12-29 06:50:07
"Nih apk bagus tpi klo makenya gratisan ya menguji kesabaran, kalo mau ngakalin iklannya nyetel di playlist sendiri",4,2025-12-29 06:48:53
"gajelas lagi dengerin lagu tiba tiba ngga bisa milih lagu sesuai apa yang di maunya, padahal sebelum nya bisa malah tiba tiba di suru premium kecewa",1,2025-12-29 06:45:38
baguss,5,2025-12-29 06:39:57
lebih bagus klo gak ada iklan,4,2025-12-29 06:39:04
game ini sangat seru saya sukaa salvador,5,2025-12-29 06:35:29
sekarang gk seru..fiturnya udh gk bisa putar ulang..dan satu lagi skrng malah ada iklan nya lagi,4,2025-12-29 06:22:12
"Makin lama iklannya makin banyak, sekali atau 2 kali mah oke aja tapi ini bisa ampe 4 kali buat satu lagu doang bah🥱",1,2025-12-29 06:03:47
lagu lagu nya dan remix ya free download musik makanya saya suka,5,2025-12-29 06:01:58
tolong akun gw jangan di bikin iklan,5,2025-12-29 05:56:35
kenapa gk bisa liat lirik nya yaa padahal biasanya bisaaa padahal udah berkali kali di install ulang tapi tetep aja,2,2025-12-29 05:55:39
mantapp bisa mendengarkan lagu dengan tenang,5,2025-12-29 05:53:03
josss,5,2025-12-29 05:20:12
wow banget sih,5,2025-12-29 05:17:40
keren,5,2025-12-29 05:15:40
mantab,5,2025-12-29 05:07:03
minus banyak iklannya aja tapi bagus kok aplikasinya,5,2025-12-29 05:04:43
Mantap dan bagus,5,2025-12-29 04:58:51
sangat bagus karena bisa mendengarkan musik sambil bermain game,5,2025-12-29 04:44:26
Keren,5,2025-12-29 04:43:58
tidak seperti dulu apa apa harus bayar,1,2025-12-29 04:38:24
iklannya melatih kesabaran ☺️,5,2025-12-29 04:35:21
yang aku suka lagu 👍,5,2025-12-29 04:26:50
bermacam macam lagu seperti lagu berasal dari indo rusia thailand dll,5,2025-12-29 04:26:21
baik!,5,2025-12-29 04:25:03
lossless nya jangan yang buat platinum doang dong,4,2025-12-29 04:23:28
mantap,5,2025-12-29 04:18:57
"tolong di perbaiki,tidak bisa menambahkan kolaborator",3,2025-12-29 04:10:32
semangat,4,2025-12-29 04:10:20
sagat bagus saya suka 🥰🥰,5,2025-12-29 04:09:41
enak banget bisa dengerin lagu lagu yg banyak,5,2025-12-29 03:56:00
bagus bangett yahh memang banyak iklan klo gk premium dan itu wajar ini worth it banget klo emg mau premium juga ga mahal kokk,5,2025-12-29 03:45:29
bagus sekali aku denger lagu kartel seruuu,5,2025-12-29 03:36:27
"sukaaa bangetttt dehh, pokoknya Spotify keren banget",5,2025-12-29 03:31:55
keren sllu pk spotify,5,2025-12-29 03:28:47
"wahh lagu lagu di spotify enak semua, dan kalau kita lagi belajar bisa sambil dengerin lagu",5,2025-12-29 03:20:57
Maantap,5,2025-12-29 03:15:41
bagus enak bnget klo sama main game kek seru gitu yaa Uda itu aja,5,2025-12-29 03:14:47
"harganya naik hampir 50% , dan 0aket duo family , hilang",3,2025-12-29 03:14:24
apk gk berguna mending gk usah di instal percuma gk bisa buat denger lagu percuma juga bayar kalo ujung² nya gk bisa di pakek,1,2025-12-29 03:05:01
"bagus sih,tapi waktu aku mau dengerin lagu lagu yg aku simpan malah ilang tolong ya Spotify diperbaiki nya y",2,2025-12-29 02:58:38
"Aplikasinya bagus, memberikan pengalaman musik dengan suara paling bagus dan eksklusif dibanding aplikasi lain, tapi saya lebih nyaman memakai YouTube Music karena memberikan harga yang lebih affordable, semoga Spotify tidak terlalu memberikan harga yang tinggi kedepannya demi menjaga konsumennya",4,2025-12-29 02:51:04
lagu lagu nya sangat enak di dengar,5,2025-12-29 02:38:02
bagus,5,2025-12-29 02:22:36
"bagus sih, tapi setiap mutar lagu, lagunya suka mati terus pas buka aplikasi yang lain, entah hape saya yang salah atau aplikasi nya",1,2025-12-29 02:12:21
"baguss buangettttt, lagu"" nya jugaaaa",5,2025-12-29 02:04:17
"iklan sering ga nongol jaringan lancar di app lain, lagu berhenti karna iklan ga keluar..parah",1,2025-12-29 02:01:11
fun app,5,2025-12-29 01:55:13
aplikasi rekomdend music paling best,5,2025-12-29 01:47:05
👍,5,2025-12-29 01:34:43
"kenapa kalo mau premium in pake akun mahasiswa selalu bermasalah, udah di premium in tapi tetep ada iklan, iklan nya banyak bgt",3,2025-12-29 01:24:26
"cukup bagus, cuma iklannya sangat mengganggu, kalau iklannya 1 kali tak masalah, kalau sudah 2-4 kali itu sangat mengganggu.",1,2025-12-29 01:18:31
nice app,5,2025-12-29 01:13:37
mantap ok,5,2025-12-29 01:11:02
apk kikir apa apa harus premium ga kayak dulu,1,2025-12-29 01:04:58
membuat setiap momen menjadi lebih menarik dng mendengarkan musik dari Spotify,5,2025-12-29 01:03:42
bagus,5,2025-12-29 00:54:11
sering ngelag,4,2025-12-29 00:43:14
bagus sekali enak didengar baru banyak lagunya,5,2025-12-29 00:42:13
aplikasi membayar,1,2025-12-29 00:42:06
"pendengar setia spotify tapi kalo iklannya sampe 3 males banget, dulu cuman 1 mungkin 2 thn depan iklannya 1-5 iklan, pengalaman mendengar terganggu banget",1,2025-12-29 00:40:13
keren,5,2025-12-29 00:27:09
spotify jelek aku pakai spotify nggak bisa mulu pengen dengar lagu nggak bisa dipencet spotify gak guna,1,2025-12-29 00:06:02
setiap lagu bayar dan setiap ganti bayar,1,2025-12-28 23:52:46
"bagus cocok untuk santai""",5,2025-12-28 23:51:32
aplikasi yg sangat bagus dan berguna,5,2025-12-28 23:50:14
okeh,5,2025-12-28 23:32:35
bagusss,5,2025-12-28 23:32:11
premium sudah di batalkan tetap saja nagih biaya,1,2025-12-28 23:19:25
keren,5,2025-12-28 23:03:18
bagus aja tapi turunin premium nya anj sebulan 40 rebu,5,2025-12-28 22:57:59
👍👍👍👍,5,2025-12-28 22:54:10
bagus banget ya lagunya lengkap dan terpercaya,5,2025-12-28 22:45:48
mantep,5,2025-12-28 22:20:07
sangat mudah digunakan,5,2025-12-28 21:58:46
Mendengarkan musik jadi lebih menyenangkan,5,2025-12-28 21:55:54
perjalanan jakarta ke Yogyakarta ditemanin lagu lagu spotify,5,2025-12-28 21:54:41
"iklannya kelamaann, huhuhu",3,2025-12-28 21:50:50
Ok,5,2025-12-28 20:46:15
lagu nya lengkap dan bagus🤩🤩👍,5,2025-12-28 20:39:03
Mantaap,5,2025-12-28 20:14:25
Kembalikan premium tahunan seharga Rp 549.000,4,2025-12-28 19:58:53
"iklannya banyak amat,butuh duit bgt ya?",1,2025-12-28 19:49:53
kikir,1,2025-12-28 19:44:48
dewa 19 the best😜😜,5,2025-12-28 19:07:00
masuk nya ngeleg anj,1,2025-12-28 18:51:33
"Spotify tolong dong di perbaikin, saya suka dengerin kek beberapa jenis popcas tapi suka juga dengerin musik, jadi saya sengaja gabungin musik dan popcas dalam 1 playlist bisa tapi sayang saat diputar malah kek gak bisa bergabung. jika saya memulai di playlist itu musik seterusnya timbulnya musik aja, sama halnya popcas. jadi saran dari saya bisa gak popcas sama musik saat didengar bisa bergantian",3,2025-12-28 18:44:19
"mending langganan yt music, ga ramah kantong",2,2025-12-28 18:06:00
bt-bagusbangat,5,2025-12-28 18:02:46
Double W lah keren,5,2025-12-28 18:00:56
sangat bagus,5,2025-12-28 17:47:35
karna ada cortis anjass,5,2025-12-28 17:33:24
"Masa putar lagu sesuai urutan doang harus bayar, mana banyak iklannya lagi, menggangu banget",1,2025-12-28 17:30:01
"iklannya super ngeselin banget, bikin naik darah, tolong di hilangin !!",1,2025-12-28 17:08:42
sayaaaaa sukaaaaa karnaaaaaa enakkk di dengerrr kayakkk dii konser beneran,5,2025-12-28 17:00:55
Aku suka suara yang di hasilkan dari Aplikasi ini dan bagus juga,5,2025-12-28 16:57:32
sangat sangat bagus,5,2025-12-28 16:38:51
mntap,5,2025-12-28 16:23:12
mantap dan sukses,5,2025-12-28 16:21:50
ada lah pokoknya,5,2025-12-28 16:20:47
adalah pokoknyaa best,5,2025-12-28 16:18:19
gila di ini aplikasinya wort it banget,5,2025-12-28 16:06:20
aplikasi ini sangattttttt bagus saya menyukai nya 😊👍🏻,5,2025-12-28 16:01:17
pokoknya mantul banget jempol dua🫰🤩,5,2025-12-28 15:50:47
sangat bagus aku menyukainya,5,2025-12-28 15:47:14
good,5,2025-12-28 15:37:54
👍,5,2025-12-28 15:35:54
bagus,5,2025-12-28 15:26:34
ok,5,2025-12-28 15:19:44
karena ada Barcelona disana bukan Madrid 🤪🤪,5,2025-12-28 15:12:45
bagus untuk mendengar suara yang bagus,5,2025-12-28 15:08:40
mantap dah bisa dengar lagu tradisional sama pop pokoknya asik dah,5,2025-12-28 15:08:22
shuffel pintar dari mana? ga pernah sesuai. mending gausah pake shuffel pintar malah bagus,3,2025-12-28 15:07:00
"seru banget bisa dengerin lagu sambil main game apalagi bisa menemukan banyak sekali lagu² untuk menginspirasi kan untuk kita banyak belajar lagi, banyak lagu² lainnya yg belum saya jelajahi terimakasih Spotify berkat aplikasi ini saya bisa mendengar lagi favorit saya di sini",5,2025-12-28 15:04:59
"gabisa muter lagu yg mau didenger, tiap nyari lagu selalu yg keputer lagu lain, oot tau ga. gaada yg mau denger playlist, tulisannya single tapi isinya playlist apasih jelas dikit kek apa gitu",1,2025-12-28 15:03:40
"HWAAA BAGUS BANGET GELO,UDAH GITU AJA",5,2025-12-28 14:53:24
semua aj harus premium anyg,5,2025-12-28 14:42:41
pelit,1,2025-12-28 14:38:49
too many ads,1,2025-12-28 14:36:37
pelayanan yang sangat baik dan mudah untuk mencari lagu yang diinginkan,5,2025-12-28 14:30:16
Bagus,5,2025-12-28 14:30:04
aplikasi ini bagus tapi ke banyakan iklan yah,5,2025-12-28 14:20:20
"nge akses ke premiumnya ribet amat. cb aja klo ada fitur qrisnya, pasti cepet",1,2025-12-28 14:09:33
gam ada lirik nya,2,2025-12-28 14:08:16
"sebenarnya bagus² aja, dengerin lagu juga lancar bngt cuman ya kadang pas nyetel 1 lagu next nya langsung iklan, disini gw mau dengerin lagu apa iklan, saran supaya iklan di kurangin karena iklan spotify emng lumayan bngt bisa sampai 4 iklan, udh mantep ko spotify cuman ye itu masalah di iklan doang.",4,2025-12-28 14:05:35
banyak iklan,4,2025-12-28 14:03:41
Ok,5,2025-12-28 14:01:41
"bagus sih bagus ya ni aplikasi, cuman sayangnya kalo mau milih/pencet lagu itu malah keliatan di suruh premium 39k, padahal dulu gak kaya gitu perasaan, kek dulu mau pilih lagu apapun bisa lah ini sekarang harus premium dulu hadehh",2,2025-12-28 13:48:04
"terlalu banyak iklan, mau upgrade ke premium lagi uang nya ga cukup soalnya kemahalan buat saya, dan lebih lebih harga segitu cuman buat sebulan. untuk pelajar seperti saya ini membebankan",3,2025-12-28 13:14:14
bagus,5,2025-12-28 12:59:53
gam nya sangat mantap dan gerapik nya mantap 😎😎😎,5,2025-12-28 12:59:00
aplikasi terjelek masa mau ganti lagu aja harus perbayar aplikasi bikin emosi 🤢🤢🤢🤢🤢,1,2025-12-28 12:48:49
bagus banget aplikasi nya.jadi gak galau lagi deh 😁🙏🏻,5,2025-12-28 12:47:45
"aku mau dengar lagu yg aku suka eh malah ga bisa, harus pake premium da lah",1,2025-12-28 12:45:55
it's good but please improve it again 👌,5,2025-12-28 12:23:11
semuanya bayar iklan lama lama bget kalau mau tidur juga kaga tenang. malah kebangun. maaf ini kekesalan pribadi doang,1,2025-12-28 12:20:49
Bagus,5,2025-12-28 12:20:09
gw makek spiker tiba tiba iklan,2,2025-12-28 12:17:30
kl ak pilih Lagu suka tidak sesuai judulnya dan banyak iklan iklan atau pemaksaan memakai premium saat iklan yg ke 3 atau 4 kali,3,2025-12-28 12:17:10
suka banget nemenin aktivitas apapun,5,2025-12-28 12:05:10
aplikasi ini biaa membantu Kita,5,2025-12-28 11:52:59
👍,5,2025-12-28 11:45:30
bagus,5,2025-12-28 11:44:59
bagus,4,2025-12-28 11:28:08
👍,5,2025-12-28 11:15:00
kaya gak enak baut dengerin musik dulu bisa dipilih sekarang harus pre baru bisa milih sendiri jelek kukasih bintang lima biar dev nya liat,5,2025-12-28 11:08:49
"Asik banget, enak buat main game",5,2025-12-28 11:06:29
musik komplit,5,2025-12-28 11:06:20
"bjir cuman denger 1 lagu sampe 3 kali, harus premium. kikir kikir",1,2025-12-28 11:04:12
ini sangat membantu untuk mendengarkan musik,4,2025-12-28 11:01:30
"suka banget luv luv deh pokoknya, tapi kurangi iklan dan lagu bisa diputar pas buka aplikasi bersuara 🫶🫀💝",5,2025-12-28 10:59:58
good,5,2025-12-28 10:56:00
aku suka banget,5,2025-12-28 10:44:47
terlalu banyak berbayar,3,2025-12-28 10:44:34
lagu gda vokal👍,1,2025-12-28 10:31:09
bagus,5,2025-12-28 10:28:27
sangatlah menghibur sekali,5,2025-12-28 10:27:54
baguss bangettt,5,2025-12-28 10:21:26
"Ini Sangat lah bagus ,",5,2025-12-28 10:07:29
aplikasi kikir,1,2025-12-28 09:55:24
"banyakkk iklan fefekkkkk,, ya gapapa iklan tapi jangan 1 langu 3 iklan lah",2,2025-12-28 09:48:48
bagus karena lagu apapun yang kita inginkan pasti ada jadi sangat seru,5,2025-12-28 09:48:39
bagus aja sih lengkap lagunya 🗿,5,2025-12-28 09:47:49
sukakk bgt,5,2025-12-28 09:45:00
kurangi iklan nya,5,2025-12-28 09:14:39
Bagus,5,2025-12-28 09:10:03
bagus. komplit,5,2025-12-28 09:04:12
mantap,5,2025-12-28 09:03:17
"Spotify semenjak Ama BARCELONA kikirnya minta ampun, ganti lagu aj sekarang di batasi kudu premium mana sekarang kasih diskon dikit doang lagi buat buka premium",1,2025-12-28 08:53:26
suara dari spotify enak banget apa lagi klo di peke main geme,5,2025-12-28 08:52:47
iklannya lah benerin dikit iklan lama banget ilah ngeselin,1,2025-12-28 08:44:16
bisa mendengarkan lagu di waktu luang dan lengkap,5,2025-12-28 08:43:26
Good apk,5,2025-12-28 08:24:20
kebanyakan iklan anj,1,2025-12-28 08:21:21
bagusß,5,2025-12-28 08:16:10
"bukan premium, tiba tiba ga bisa klik lagu pada menu disukai",1,2025-12-28 08:10:38
bagus banget sumpah .,4,2025-12-28 07:41:26
"Bagus banget cocok untuk yang suka lagu""",4,2025-12-28 07:35:29
stress released,5,2025-12-28 07:29:00
"aplikasi kikir baru puter berapa lagu langsung iklan bejibun mana lama, mana lagunya gak lengkap semua pula udh premium nya jadi dimahalin pula hadeh. kecewa gw Ama aplikasi ini, padahal ni aplikasi adalah aplikasi favorit gw buat dengerin musik loh tapi ya... gitulah.",1,2025-12-28 07:27:32
anjayyy iklan sekrang sportify gak ngotak iklan sampe 1-4,3,2025-12-28 07:16:34
aplikasi pelit apa apa harus premium padahal dulu dengerin lagu bebas loh sekarang maksabanget premium,1,2025-12-28 07:02:18
bagus banyak plilihan lagu yang terbaik,5,2025-12-28 06:48:56
min udah nggak bisa bayar pake pulsa yah? padahal metode pembelian itu sering aku pake,4,2025-12-28 06:47:49
its good app,5,2025-12-28 06:43:13
bagus,5,2025-12-28 06:31:39
ini bagus banget ada lagu bnyk bnget tapi aku kadang nggk bisa pilih lagu yang aku mau karna aku blom premium akuu mau bnget premium,5,2025-12-28 06:14:48
oke lah,5,2025-12-28 06:13:05
mantap,5,2025-12-28 06:09:36
lagu nya asik,5,2025-12-28 06:03:06
good yes,5,2025-12-28 06:02:35
Good,2,2025-12-28 05:59:15
mantap,5,2025-12-28 05:54:17
mantap,5,2025-12-28 05:46:51
"di satu playlist jrg ad iklan, playlist yg kedua Bnyk bgt iklan,1 lagu 3 iklan",1,2025-12-28 05:39:38
karna bisa Dengar kan musik sesuka hati tidak ada iklan walaupun pakai paket saya suka aplikasi ini,5,2025-12-28 05:34:10
"buset dah semuanya ae premium, nyetel musik premium, skip musik premium, pencet dikit premium, lagu udah dipisah di koleksi pas di pencet yg nyala malah musik random",1,2025-12-28 05:33:04
"bagus dan puas dengan spotify,, gak ada iklan,, jd dengerin lagunya gak terganggu",5,2025-12-28 05:31:56
baguss,5,2025-12-28 05:28:32
bagus si tapi ko aku pas mau klik lagu yg lain ga bisa ya harus bayar gitu kenapa ya,2,2025-12-28 05:26:47
"aplikasi yg menemani ku di saat kesepian, belajar",5,2025-12-28 05:22:13
kikir,1,2025-12-28 05:19:13
bagus untuk mendengarkan lagu,5,2025-12-28 05:14:04
apl sangat praktis,5,2025-12-28 05:11:56
"aplikasi ini sangant bagus biasa nya aku pakai untuk bersih bersih rumah,mengerjakan pr,dan kalau lagi sendiri aku sering mendengarkan lagu dari spotify ini suara nya juga bagus aku kasih bintang 5 karena aplikasi nya bagus and bermanfaat",5,2025-12-28 05:06:22
Suka,5,2025-12-28 04:55:07
"iklannya terlalu banyak, dan buat liriknya jg kadang tidak tersedia, lagu tersedia semua, but, ada masalah yang ku keselin, kalo mau pilih lagu lagi harus premium,tolong ya, fiturnya itu jangan diperbanyak premium",2,2025-12-28 04:54:47
bagussss bangettt lohhh,5,2025-12-28 04:53:38
Bagus enak buat dengerin lagu tapi kurang nya di bagian iklan tapi worth it lah,5,2025-12-28 04:49:49
Spotify dengar kan lagu jadi lebih mengasyikkan.,5,2025-12-28 04:46:17
sigma jir 🤭,5,2025-12-28 04:36:49
aplikasi kikir,1,2025-12-28 04:27:37
iklan lanjut dengerin lagu setelah dengerin 2 lagu malah iklan lagi. kikir banget nih spotify,1,2025-12-28 04:18:44
MANTAP,5,2025-12-28 03:59:55
"sangat bagus, apa lagi buat org yg mau hafalin lagu",5,2025-12-28 03:29:48
"pilihan buruk untuk membatasi akun gratis dalam memilih lagu perharinya, sangat-sangat buruk",1,2025-12-28 03:26:04
spotify bagus banget aku suka lagu nya,5,2025-12-28 03:16:22
so good and singing,5,2025-12-28 03:15:02
nice,5,2025-12-28 03:05:06
Selalu muncul iklan,3,2025-12-28 03:04:41
"untuk menu pengaturan muat ulang terus, pdhl kuota cukup",4,2025-12-28 03:03:43
"napa sih tiap apk yang mulai naik daun suka jadi kikir kapitalis, denger 2 lagu iklan ga bisa di skip, sehari cuma bisa milih beberapa lagu dikit dikit premium dikit dikit premium,ada juga bug udah pencet taro ke playlist ga ke simpen, untung lu satu satu nya apk setel music semua music ada ada lyric nya jadi gw terpaksa kesiksa sama ni apk konrol keganggu jadi mood gw kalo lagi denger music di ni apk😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡",1,2025-12-28 03:01:17
"jangan download , setiap lagu ada iklan spotifynya .. mending di youtube",1,2025-12-28 02:58:08
gak bisa nyetel lagu dck,1,2025-12-28 02:49:54
best,5,2025-12-28 02:36:03
premium malah jd mode ofline,1,2025-12-28 02:28:48
asik no basic,5,2025-12-28 02:28:33
sangat menghibur aplikasi ini mantap,5,2025-12-28 02:28:01
sangat membantu,5,2025-12-28 02:17:31
"apalah malah semua lagu playlist gw ilang dan ga bisa di puter, kikir bngt kayanya ni apa"" harus premium",1,2025-12-28 02:16:46
sungguh enak di dengar sangat merdu,5,2025-12-28 02:15:59
aplikasi ini sangat bagus buat dengerin musik,5,2025-12-28 02:06:43
keren banget,5,2025-12-28 01:48:25
Suka kokk Luv yu Spotify 🫶🫶 tapii... mohon maap... ini ada beberapa lagu di Fav Music ku.. ada yang ga bisa diputar.. KENAPA YAHH....?????,4,2025-12-28 01:43:21
mantaps,5,2025-12-28 01:33:33
Keren 👍,5,2025-12-28 01:11:32
seru lagunya enek enek buat main game,5,2025-12-28 00:52:43
"bagus, layak 5 ⭐️",5,2025-12-28 00:50:34
keren,5,2025-12-28 00:50:24
mantap sportify,5,2025-12-28 00:47:09
suaranya bagus,5,2025-12-28 00:43:21
sangat setuj.,3,2025-12-28 00:41:43
bagus banget bagi aku mendengarkan lagu,5,2025-12-28 00:39:23
kereen pokonya bro,5,2025-12-28 00:36:04
"sumpaa aplikasi ini berfungsi bngtt buat beres²,nyanyi,dll.karna kan aplikasi ini kalau hp kita mati tetep nyala lagunya terus jalan²sendiri lagunya tnpa kita pilih THANK YOU SPOTIFY 🎀🎀✨✨",5,2025-12-28 00:09:59
"kenapa akun spotify tiba-tiba hilang, terus bikin akun spotify yang baru, malah tidak bisa pakai nomor hp, mendingan hapus aja selamanya aplikasi spotify gak guna",1,2025-12-28 00:06:32
"puas, bisa milih lagu sesuai keinginan, muter Al Qur'an tanpa di ganggu👍",5,2025-12-28 00:06:02
soalnya lengkap lagu kesukaan aku,5,2025-12-27 23:58:46
sangat menyenangkan dan menghilangkan rasa kesepian,5,2025-12-27 23:52:08
kualitas audio nya bagus walaupun hp ku hp kentang,5,2025-12-27 23:46:39
complete dan variatif,5,2025-12-27 23:20:52
👍👍👍,5,2025-12-27 23:18:28
ribet,1,2025-12-27 23:07:08
bagus,5,2025-12-27 23:02:53
kebanyakan iklan,1,2025-12-27 22:22:30
suka suka banget,5,2025-12-27 21:38:28
"aplikasinya nge bug , play list tidak bisa di putar padahal mode online",5,2025-12-27 21:29:42
kenapa jadi ada iklan,4,2025-12-27 21:27:02
spotify sangat bagus skali😙😙,5,2025-12-27 20:56:54
terimakasih nyak,5,2025-12-27 20:16:53
banyak iklan,2,2025-12-27 20:04:08
bagus,5,2025-12-27 20:02:19
enak bet,5,2025-12-27 18:28:25
4/5 enak di dengar,4,2025-12-27 18:26:21
boikot.,1,2025-12-27 18:22:00
apa apa harus premium bangkhe💔,4,2025-12-27 18:15:24
Mantap,4,2025-12-27 17:54:48
aku suka .bagus lagu lagu nya dan mudah di gunakan,5,2025-12-27 17:52:03
SUKA BANGET SUMPAH,5,2025-12-27 16:59:16
apk ini bagus bangat,5,2025-12-27 16:49:29
bagus,5,2025-12-27 16:41:42
banyak lagu yang ku cari,5,2025-12-27 16:39:03
Ini kenapa sih kok setiap kita ingin mendengarkan lagu selalu putar acak tolong diperbaiki,3,2025-12-27 16:38:19
makin lama makin gajelas uninstall aja,1,2025-12-27 16:33:09
iya musik tampa iklan dan internet,5,2025-12-27 16:11:18
masih mending dengerin radio dari pda ini kdang malu ajh lagi nyetel musik banyak iklan nya 🤣🤣🤣 . sampai di ledekin tetangga bro mending radio udh ketauan iklan juga pantas ini apk lho ....,1,2025-12-27 16:06:06
Audionya ok bingit cuy👍👍👍,5,2025-12-27 16:02:06
musik yang sangat luas dan memuaskan telinga.,5,2025-12-27 16:01:14
Nyaman but agak pelit sih,2,2025-12-27 15:51:20
"maksudnya apaan ya? dikit' premium, milih musik doang loh disuruh premium? udah ma iklannya banya banget, lu kurang duit apa gimana?",1,2025-12-27 15:32:20
keren pokoknya! sukses selalu spotify,5,2025-12-27 15:31:08
bagus,5,2025-12-27 15:24:01
"good, but the auto shuffle kinda sucks. Im playing rock song like A7x, after that got pop / dangdut song. I play nightcore song, then got dj song. I mean, can this auto shuffle not to personal? Because Im not only listening into 1 genre!!!",3,2025-12-27 15:22:27
ak suka banget dengerin lagu di sini,5,2025-12-27 15:20:18
bagus banget cuman ada promosi viv dan sedikit iklan tapi bagi,5,2025-12-27 15:17:39
nice,5,2025-12-27 15:16:24
luv luv deh,5,2025-12-27 15:16:08
hebat semua lagu yang aku pengin ada,5,2025-12-27 15:12:43
jelek Spotify kikir apa apa harus bayar milih lagu aja bayar hdehk poke APUS aja dek dari playstore,1,2025-12-27 15:01:58
bagus banget karena bisa putar lagu paling favorit berkali kali,5,2025-12-27 14:55:41
